,name_game_2weeks,playtime_2weeks_game_count,playtime_2weeks_game_max,playtime_2weeks_game_median,playtime_2weeks_game_mean,playtime_2weeks_game_min,appid_game_2weeks,playtime_2weeks_game,playtime_forever_game_2weeks,steam_appid_2weeks_game_,price_overview_2weeks_game_,genres_2weeks_game_,developers_2weeks_game_,publishers_2weeks_game_,categories_2weeks_game_,release_date_2weeks_game_,metacritic_2weeks_game_
277,Pathfinder:WrathoftheRighteous-EnhancedEdition,4,957,347.5,445.5,130,1184370,957,2415,1184370,42,"['Adventure', 'Indie', 'RPG', 'Strategy']",['OwlcatGames'],"['METAPublishing', 'OwlcatGames']","['Single-player', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'FamilySharing']","2Sep,2021",83
278,Starfield,4,65,33.5,33.25,1,1716740,46,18545,1716740,64,['RPG'],['BethesdaGameStudios'],['BethesdaSoftworks'],"['Single-player', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'FamilySharing']","5Sep,2023",No score
279,TransportFever2,4,2042,558.5,811.0,85,1066780,2042,27437,1066780,39,"['Casual', 'Indie', 'Simulation', 'Strategy']",['UrbanGames'],['GoodShepherdEntertainment'],"['Single-player', 'SteamAchievements', 'Fullcontrollersupport', 'SteamWorkshop', 'FamilySharing']","Dec11,2019",76
280,BATTLETECH,4,271,205.5,175.0,18,637090,18,11907,637090,9,"['Action', 'Adventure', 'Strategy']",['HarebrainedSchemes'],['ParadoxInteractive'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'SteamTradingCards', 'SteamCloud', 'RemotePlayTogether', 'FamilySharing']","Apr24,2018",78
281,TheElderScrollsV:Skyrim,4,1065,63.0,298.0,1,72850,1,6669,72850,19,['RPG'],['BethesdaGameStudios'],['BethesdaSoftworks'],"['Single-player', 'SteamAchievements', 'SteamTradingCards', 'SteamWorkshop', 'PartialControllerSupport', 'SteamCloud', 'FamilySharing']","Nov10,2011",94
282,"Warhammer40,000:RogueTrader",4,1952,1117.5,1067.5,83,2186680,1329,9580,2186680,49,"['Adventure', 'Indie', 'RPG', 'Strategy']",['OwlcatGames'],['OwlcatGames'],"['Single-player', 'Multi-player', 'Co-op', 'OnlineCo-op', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'SteamTradingCards', 'SteamWorkshop', 'PartialControllerSupport', 'SteamCloud', 'FamilySharing']","Dec7,2023",No score
283,GolfIt!,4,178,101.5,103.25,32,571740,32,3404,571740,8,"['Casual', 'Indie', 'Simulation', 'Sports']",['PerfuseEntertainment'],['PerfuseEntertainment'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Shared/SplitScreenPvP', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'TrackedControllerSupport', 'VRSupported', 'SteamTradingCards', 'SteamWorkshop', 'PartialControllerSupport', 'SteamCloud', 'Stats', 'SteamLeaderboards', 'Includesleveleditor', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayTogether', 'FamilySharing']","Aug18,2023",No score
284,Demonologist,4,140,92.5,96.75,62,1929610,140,204,1929610,14,"['Action', 'Adventure', 'Indie']",['ClockWizardGames'],['ClockWizardGames'],"['Single-player', 'Multi-player', 'Co-op', 'OnlineCo-op', 'SteamAchievements', 'SteamCloud', 'FamilySharing']","Sep25,2023",No score
285,ScribbleIt!,4,858,134.0,305.25,95,1088150,858,837,1088150,0,"['Casual', 'Indie', 'FreetoPlay']",['DetachEntertainment'],['DetachEntertainment'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'SteamCloud']","Oct20,2020",No score
286,NewWorld,4,2527,262.0,767.25,18,1063730,2527,119216,1063730,39,"['Action', 'Adventure', 'MassivelyMultiplayer', 'RPG']",['AmazonGames'],['AmazonGames'],"['Multi-player', 'MMO', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'SteamAchievements', 'In-AppPurchases', 'PartialControllerSupport']","Sep28,2021",70
287,RuneScape,4,5589,284.5,1540.25,3,1343400,10,71230,1343400,0,"['MassivelyMultiplayer', 'RPG', 'FreetoPlay']",['JagexLtd'],['JagexLtd'],"['Multi-player', 'MMO', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'In-AppPurchases']","Oct14,2020",No score
288,FTL:FasterThanLight,4,1283,381.0,522.75,46,212680,684,6805,212680,9,"['Indie', 'Simulation', 'Strategy']",['SubsetGames'],['SubsetGames'],"['Single-player', 'SteamAchievements', 'SteamTradingCards', 'RemotePlayonPhone', 'RemotePlayonTablet', 'FamilySharing']","Sep14,2012",84
289,PGATOUR2K23,4,1873,395.0,695.5,119,1588010,266,266,1588010,59,"['RPG', 'Simulation', 'Sports']",['HBStudios'],['2K'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Shared/SplitScreenPvP', 'Co-op', 'OnlineCo-op', 'Shared/SplitScreenCo-op', 'Shared/SplitScreen', 'SteamAchievements', 'Fullcontrollersupport', 'In-AppPurchases', 'FamilySharing']","Oct13,2022",No score
290,VTubeStudio,4,3930,2648.5,2640.75,1336,1325860,3930,73633,1325860,0,"['Indie', 'Animation&Modeling', 'VideoProduction']",['DenchiSoft'],['DenchiSoft'],"['Single-player', 'SteamWorkshop']","Mar12,2021",No score
291,Hydroneer,4,1371,788.5,809.75,291,1106840,1138,2956,1106840,14,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",['FoulballHangover'],['FoulballHangover'],"['Single-player', 'Multi-player', 'Co-op', 'Shared/SplitScreenCo-op', 'Shared/SplitScreen', 'SteamAchievements', 'SteamTradingCards', 'SteamWorkshop', 'PartialControllerSupport', 'SteamCloud', 'RemotePlayTogether', 'FamilySharing']","May8,2020",No score
292,BlazBlueCentralfiction,4,1287,136.0,407.5,71,586140,144,1263,586140,39,['Action'],['ArcSystemWorks'],"['H2InteractiveCo.,Ltd.']","['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Shared/SplitScreenPvP', 'Shared/SplitScreen', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'RemotePlayTogether', 'FamilySharing']","Apr25,2017",No score
293,CrusaderKingsII,4,528,284.5,335.5,245,203770,245,4257,203770,0,"['RPG', 'Simulation', 'Strategy', 'FreetoPlay']",['ParadoxDevelopmentStudio'],['ParadoxInteractive'],"['Single-player', 'Multi-player', 'SteamTradingCards']","Feb14,2012",82
294,STARWARSJedi:FallenOrder™,4,755,220.5,316.5,70,1172380,159,243,1172380,39,"['Action', 'Adventure']",['RespawnEntertainment'],['ElectronicArts'],"['Single-player', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'RemotePlayonTablet', 'RemotePlayonTV', 'HDRavailable']","Nov14,2019",81
295,LegionTD2,4,1366,1017.5,936.5,345,469600,924,58167,469600,24,"['Casual', 'Indie', 'Strategy']",['AutoAttackGames'],['AutoAttackGames'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'SteamAchievements', 'SteamTradingCards', 'Stats']","Oct1,2021",No score
296,S.T.A.L.K.E.R.:ShadowofChernobyl,4,358,122.5,151.0,1,4500,229,785,4500,19,"['Action', 'RPG']",['GSCGameWorld'],['GSCGameWorld'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'LANPvP', 'SteamCloud', 'FamilySharing']","Mar20,2007",82
297,Dragon'sDogma2,4,2401,593.5,901.0,16,2054970,2401,2401,2054970,69,"['Action', 'RPG']","['CAPCOMCo.,Ltd.']","['CAPCOMCo.,Ltd.']","['Single-player', 'SteamAchievements', 'SteamTradingCards', 'PartialControllerSupport', 'SteamCloud', 'HDRavailable', 'FamilySharing']","21Mar,2024",No score
298,Borderlands3,4,1053,271.0,408.25,38,397540,68,4457,397540,8,"['Action', 'RPG']",['GearboxSoftware'],['2K'],"['Single-player', 'Multi-player', 'Co-op', 'OnlineCo-op', 'LANCo-op', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayonTV', 'FamilySharing']","Mar13,2020",81
299,HorizonZeroDawn™CompleteEdition,4,1758,863.5,890.5,77,1151640,1758,1853,1151640,46,"['Action', 'Adventure', 'RPG']",['Guerrilla'],['PlayStationPCLLC'],"['Single-player', 'SteamAchievements', 'Fullcontrollersupport', 'SteamCloud', 'RemotePlayonTablet', 'FamilySharing']","7Aug,2020",No score
300,3DMarkDemo,4,743,127.5,249.75,1,231350,215,215,231350,0,['Utilities'],['UL'],['UL'],"['Gamedemo', 'SteamAchievements', 'SteamLeaderboards']","Feb4,2013",No score
301,DarkestDungeon®,4,1670,552.5,740.75,188,262060,525,5394,262060,23,"['Indie', 'RPG', 'Strategy']",['RedHookStudios'],['RedHookStudios'],"['Single-player', 'SteamAchievements', 'SteamTradingCards', 'PartialControllerSupport', 'SteamCloud', 'RemotePlayonTablet', 'FamilySharing']","19Jan,2016",84
302,HudSight-customcrosshairoverlay,4,2646,1066.0,1218.5,96,1477830,2646,12259,1477830,6,"['Action', 'Education', 'SoftwareTraining', 'Utilities', 'VideoProduction']",['EduardKozadaev'],['EduardKozadaev'],[],"Jan5,2021",No score
303,LEGO®StarWars™:TheSkywalkerSaga,4,1479,131.0,460.75,102,920210,1479,4050,920210,49,"['Action', 'Adventure']",['TTGames'],"['WarnerBros.Games', 'WarnerBros.InteractiveEntertainment']","['Single-player', 'Multi-player', 'Co-op', 'Shared/SplitScreenCo-op', 'Shared/SplitScreen', 'SteamAchievements', 'Fullcontrollersupport', 'SteamCloud', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayTogether', 'HDRavailable', 'FamilySharing']","Apr5,2022",78
304,3DMark,4,6096,317.0,1685.75,13,223850,21,1248,223850,8,['Utilities'],['ULSolutions'],['ULSolutions'],"['SteamAchievements', 'SteamTradingCards', 'SteamLeaderboards']",Unknown,No score
305,TheOutlastTrials,4,541,252.5,300.0,154,1304930,541,1399,1304930,39,"['Action', 'Adventure', 'Indie']",['RedBarrels'],['RedBarrels'],"['Single-player', 'Multi-player', 'Co-op', 'OnlineCo-op', 'Fullcontrollersupport', 'FamilySharing']","Mar5,2024",No score
306,NIGHT-RUNNERSPROLOGUE,4,219,82.0,99.75,16,2707900,128,128,2707900,0,"['Racing', 'Simulation']",['PLANETJEM'],['PLANETJEM'],"['Single-player', 'Fullcontrollersupport']","Feb23,2024",No score
307,TapNinja,4,3702,1196.5,1619.75,384,1891700,1186,10665,1891700,0,"['Action', 'Casual', 'Indie', 'RPG', 'FreetoPlay']",['BrokenGlass'],['BrokenGlass'],"['Single-player', 'SteamAchievements', 'In-AppPurchases', 'SteamCloud']","Mar17,2022",No score
308,Skullgirls2ndEncore,4,442,234.0,240.0,50,245170,442,5735,245170,3,"['Action', 'Indie']",['HiddenVariableStudios'],['AutumnGames'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Shared/SplitScreenPvP', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'SteamLeaderboards', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayonTV', 'RemotePlayTogether', 'FamilySharing']","22Aug,2013",83
309,iRacing,4,784,88.0,240.25,1,266410,784,1814,266410,9,"['MassivelyMultiplayer', 'Racing', 'Simulation', 'Sports']","['iRacing.comMotorsportSimulations', 'iRacing']","['iRacing.comMotorsportSimulations', 'iRacing']","['Single-player', 'Multi-player', 'MMO', 'PvP', 'OnlinePvP', 'VRSupport', 'PartialControllerSupport', 'FamilySharing']","Jan12,2015",79
310,Plantsvs.Zombies:GameoftheYear,4,474,113.0,185.25,41,3590,474,1636,3590,4,['Strategy'],"['PopCapGames,Inc.']","['PopCapGames,Inc.', 'ElectronicArts']","['Single-player', 'SteamAchievements', 'RemotePlayonPhone', 'RemotePlayonTablet', 'FamilySharing']","May5,2009",87
311,LikeaDragon:InfiniteWealth,3,800,411.0,409.0,16,2072450,800,800,2072450,48,"['Action', 'Adventure', 'RPG']",['RyuGaGotokuStudio'],['SEGA'],"['Single-player', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'FamilySharing']","25Jan,2024",89
312,DwarfFortress,3,1127,316.0,550.6666666666666,209,975370,209,7173,975370,29,"['Indie', 'RPG', 'Simulation', 'Strategy']",['Bay12Games'],['KitfoxGames'],"['Single-player', 'SteamWorkshop', 'FamilySharing']","Dec6,2022",93
313,DysonSphereProgram,3,402,113.0,197.0,76,1366540,113,6237,1366540,19,"['Indie', 'Simulation', 'Strategy', 'EarlyAccess']",['YouthcatStudio'],['GameraGames'],"['Single-player', 'SteamAchievements', 'FamilySharing']","Jan20,2021",No score
314,WorldofTanksBlitz,3,936,359.0,512.3333333333334,242,444200,936,4449,444200,0,"['Action', 'MassivelyMultiplayer', 'FreetoPlay']",['WargamingGroupLimited'],['WargamingGroupLimited'],"['Multi-player', 'MMO', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'Cross-PlatformMultiplayer', 'SteamTradingCards', 'In-AppPurchases']","Nov9,2016",No score
315,BackpackBattles,3,979,89.0,361.3333333333333,16,2427700,89,5602,2427700,12,"['Strategy', 'EarlyAccess']",['PlayWithFurcifer'],"['PlayWithFurcifer', 'IndieArk']","['Multi-player', 'PvP', 'OnlinePvP', 'Fullcontrollersupport', 'SteamCloud', 'FamilySharing']","Mar8,2024",No score
316,UNO,3,244,218.0,154.33333333333334,1,470220,1,106068,470220,9,['Casual'],['UbisoftEntertainment'],['UbisoftEntertainment'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Shared/SplitScreenPvP', 'Co-op', 'OnlineCo-op', 'Shared/SplitScreenCo-op', 'Fullcontrollersupport', 'SteamTradingCards', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayonTV', 'RemotePlayTogether', 'FamilySharing']","Jan3,2017",No score
317,Teardown,3,185,61.0,96.33333333333333,43,1167630,43,593,1167630,29,"['Action', 'Indie', 'Simulation', 'Strategy']",['TuxedoLabs'],"['TuxedoLabs', 'SaberInteractive']","['Single-player', 'SteamAchievements', 'Fullcontrollersupport', 'SteamWorkshop', 'SteamCloud', 'Includesleveleditor', 'RemotePlayonTablet', 'FamilySharing']","Apr21,2022",80
318,One-armedrobber,3,387,144.0,183.0,18,2551020,144,144,2551020,0,"['Action', 'Indie', 'Simulation', 'Strategy', 'FreetoPlay']",['Duhndal'],['Duhndal'],"['Single-player', 'Multi-player', 'Co-op', 'OnlineCo-op', 'SteamAchievements', 'In-AppPurchases', 'SteamCloud', 'Stats']","Dec15,2023",No score
319,NordicAshes,3,2425,717.0,1078.6666666666667,94,2068280,2425,3224,2068280,8,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Strategy']",['NoxfallStudios'],['NoxfallStudios'],"['Single-player', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'FamilySharing']","Apr26,2024",No score
320,Marvel’sSpider-ManRemastered,3,68,46.0,51.0,39,1817070,68,1155,1817070,57,"['Action', 'Adventure', 'Casual']","['InsomniacGames', 'NixxesSoftware']",['PlayStationPCLLC'],"['Single-player', 'SteamAchievements', 'PartialControllerSupport', 'SteamCloud', 'RemotePlayonTV', 'FamilySharing']","12Aug,2022",No score
321,"Warhammer40,000:DawnofWar-Soulstorm",3,171,149.0,112.33333333333333,17,9450,149,5735,9450,12,['Strategy'],['RelicEntertainment'],['SEGA'],"['Single-player', 'Multi-player', 'SteamCloud', 'FamilySharing']","Mar5,2008",No score
322,FarmTogether2,3,1116,395.0,547.6666666666666,132,2418520,1116,1153,2418520,19,"['Casual', 'Indie', 'Simulation', 'EarlyAccess']",['MilkstoneStudios'],['MilkstoneStudios'],"['Single-player', 'Multi-player', 'Co-op', 'OnlineCo-op', 'Shared/SplitScreenCo-op', 'Shared/SplitScreen', 'Fullcontrollersupport', 'SteamCloud', 'RemotePlayonTV', 'RemotePlayTogether', 'FamilySharing']","May7,2024",No score
323,FarmTogether,3,974,255.0,437.3333333333333,83,673950,255,6688,673950,19,"['Casual', 'Indie', 'Simulation']",['MilkstoneStudios'],['MilkstoneStudios'],"['Single-player', 'Multi-player', 'Co-op', 'OnlineCo-op', 'Shared/SplitScreenCo-op', 'Shared/SplitScreen', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayonTV', 'RemotePlayTogether', 'FamilySharing']","Oct11,2018",No score
324,MechWarrior5:Mercenaries,3,1576,1175.0,1068.6666666666667,455,784080,455,897,784080,29,"['Action', 'Simulation']",['PiranhaGamesInc.'],['PiranhaGamesInc.'],"['Single-player', 'Multi-player', 'Co-op', 'OnlineCo-op', 'SteamAchievements', 'SteamWorkshop', 'PartialControllerSupport', 'FamilySharing']","May26,2021",73
325,FishingPlanet,3,137,21.0,58.666666666666664,18,380600,137,137,380600,0,"['MassivelyMultiplayer', 'Simulation', 'Sports', 'FreetoPlay']",['FishingPlanetLLC'],['FishingPlanetLLC'],"['Single-player', 'Multi-player', 'MMO', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'Fullcontrollersupport', 'RemotePlayonTV']","Aug28,2017",No score
326,TEKKEN7,3,349,124.0,161.0,10,389730,124,2877,389730,39,"['Action', 'Sports']",['BANDAINAMCOStudiosInc.'],['BANDAINAMCOEntertainment'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Shared/SplitScreenPvP', 'Shared/SplitScreen', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'SteamLeaderboards', 'RemotePlayonTV', 'RemotePlayTogether', 'FamilySharing']","Jun1,2017",82
327,Fallout:NewVegasPCR,3,1047,277.0,456.6666666666667,46,22490,1047,1293,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
328,MetroExodusEnhancedEdition,3,546,361.0,329.0,80,1449560,546,927,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
329,Fallout,3,1283,1256.0,933.6666666666666,262,38400,1283,1283,38400,9,['RPG'],['InterplayInc.'],['BethesdaSoftworks'],"['Single-player', 'SteamCloud', 'FamilySharing']","Nov1,2015",89
330,Middle-earth™:ShadowofWar™,3,1238,695.0,838.6666666666666,583,356190,695,5741,356190,4,"['Action', 'Adventure', 'RPG']",['MonolithProductions'],['WBGames'],"['Single-player', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'In-AppPurchases', 'SteamCloud', 'FamilySharing']","Oct9,2017",No score
331,Fabledom,3,1493,514.0,815.6666666666666,440,1651560,440,440,1651560,13,"['Casual', 'Simulation', 'Strategy']",['GrenaaGames'],"['DearVillagers', 'DoyoyoGames']","['Single-player', 'SteamCloud', 'FamilySharing']","May13,2024",79
332,MinionMasters,3,215,37.0,89.33333333333333,16,489520,16,2391,489520,0,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy', 'FreetoPlay']",['BetaDwarf'],['BetaDwarf'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'In-AppPurchases', 'SteamCloud', 'RemotePlayonTablet']","May24,2019",No score
333,Wolfenstein:TheNewOrder,3,847,362.0,418.6666666666667,47,201810,362,962,201810,19,['Action'],['MachineGames'],['BethesdaSoftworks'],"['Single-player', 'SteamAchievements', 'PartialControllerSupport', 'SteamLeaderboards', 'FamilySharing']","May19,2014",81
334,ForTheKingII,3,970,351.0,491.3333333333333,153,1676840,153,829,1676840,20,"['Adventure', 'Indie', 'RPG', 'Strategy']",['IronOakGames'],['CurveGames'],"['Single-player', 'Multi-player', 'Co-op', 'OnlineCo-op', 'SteamAchievements', 'Fullcontrollersupport', 'SteamCloud', 'FamilySharing']","2Nov,2023",76
335,MortalOnline2,3,2222,168.0,805.0,25,1170950,25,70965,1170950,39,"['Action', 'Indie', 'MassivelyMultiplayer', 'RPG']",['StarVaultAB'],['StarVaultAB'],"['Multi-player', 'MMO', 'SteamAchievements', 'SteamCloud', 'Stats', 'SteamLeaderboards']","Jan25,2022",No score
336,FINALFANTASYVIIREMAKEINTERGRADE,3,941,824.0,606.0,53,1462040,824,2055,1462040,67,"['Action', 'Adventure', 'RPG']",['SquareEnix'],['SquareEnix'],"['Single-player', 'SteamAchievements', 'SteamTradingCards', 'PartialControllerSupport', 'SteamCloud', 'FamilySharing']","17Jun,2022",No score
337,Mount&Blade:Warband,3,2406,581.0,1003.0,22,48700,2406,308487,48700,19,"['Action', 'RPG']",['TaleWorldsEntertainment'],['TaleWorldsEntertainment'],"['Single-player', 'Multi-player', 'SteamAchievements', 'SteamTradingCards', 'SteamWorkshop', 'FamilySharing']","Mar31,2010",78
338,Muck,3,759,171.0,329.3333333333333,58,1625450,171,604,1625450,0,"['Action', 'Adventure', 'FreetoPlay', 'Indie']",['Dani'],['Dani'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op']","5Jun,2021",No score
339,UnnamedSpaceIdle,3,18738,4110.0,7704.0,264,2471100,4110,7074,2471100,0,"['Casual', 'Simulation', 'FreetoPlay', 'EarlyAccess']",['Sylv'],['JdogCorp'],"['Single-player', 'SteamAchievements', 'In-AppPurchases', 'SteamCloud']","27Jul,2023",No score
340,ForzaHorizon4,3,82,38.0,48.666666666666664,26,1293830,38,12397,1293830,57,['Racing'],['PlaygroundGames'],['XboxGameStudios'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'FamilySharing']","9Mar,2021",No score
341,MyGarage,3,513,285.0,321.6666666666667,167,1578390,285,8359,1578390,19,"['Indie', 'Racing', 'Simulation', 'EarlyAccess']",['VikingGameStudio'],['VikingGameStudio'],"['Single-player', 'PartialControllerSupport', 'FamilySharing']","Aug10,2021",No score
342,WorldBox-GodSimulator,3,402,217.0,265.0,176,1206560,402,402,1206560,19,"['Indie', 'Simulation', 'EarlyAccess']",['MaximKarpenko'],['MaximKarpenko'],"['Single-player', 'SteamWorkshop', 'SteamCloud', 'Includesleveleditor', 'FamilySharing']","Dec2,2021",No score
343,LustGoddess,3,2036,1016.0,1076.3333333333333,177,2808930,1016,7327,2808930,0,"['Action', 'Adventure', 'MassivelyMultiplayer', 'RPG', 'Strategy', 'FreetoPlay']",['BRAWEALTD'],['BRAWEALTD'],"['Single-player', 'Multi-player', 'PvP', 'SteamAchievements', 'In-AppPurchases']","Feb21,2024",No score
344,Foxhole,3,2393,15.0,803.6666666666666,3,505460,2393,41652,505460,29,"['Action', 'Indie', 'MassivelyMultiplayer', 'RPG', 'Strategy']",['SiegeCamp'],['SiegeCamp'],"['Multi-player', 'MMO', 'PvP', 'OnlinePvP', 'ValveAnti-Cheatenabled', 'FamilySharing']","Sep28,2022",No score
345,NickelodeonAll-StarBrawl2,3,540,271.0,348.3333333333333,234,2017080,271,5886,2017080,49,['Action'],['FairPlayLabs'],['GameMillEntertainment'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Shared/SplitScreenPvP', 'Shared/SplitScreen', 'SteamAchievements', 'Fullcontrollersupport', 'RemotePlayTogether', 'FamilySharing']","Nov7,2023",No score
346,NieR:Automata™,3,1574,843.0,1020.6666666666666,645,524220,645,3148,524220,38,"['Action', 'RPG']","['SquareEnix', 'PlatinumGamesInc.']",['SquareEnix'],"['Single-player', 'SteamAchievements', 'SteamTradingCards', 'PartialControllerSupport', 'SteamCloud', 'RemotePlayonPhone', 'RemotePlayonTablet', 'FamilySharing']","17Mar,2017",84
347,LostLight,3,839,139.0,328.3333333333333,7,1797880,139,139,1797880,0,"['Action', 'MassivelyMultiplayer', 'FreetoPlay']",['NetEaseGames'],['NetEaseGames'],"['Multi-player', 'PvP', 'OnlinePvP', 'In-AppPurchases']","Sep1,2022",No score
348,EiyudenChronicle:HundredHeroes,3,2050,765.0,954.3333333333334,48,1658280,2050,4633,1658280,42,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",['Rabbit&BearStudios'],['505Games'],"['Single-player', 'SteamAchievements', 'PartialControllerSupport', 'FamilySharing']","23Apr,2024",78
349,NBA2K23,3,1118,688.0,608.0,18,1919590,688,21339,1919590,59,"['Simulation', 'Sports']",['VisualConcepts'],['2K'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Shared/SplitScreenPvP', 'Co-op', 'OnlineCo-op', 'Shared/SplitScreenCo-op', 'Shared/SplitScreen', 'SteamAchievements', 'Fullcontrollersupport', 'In-AppPurchases', 'SteamCloud', 'RemotePlayTogether', 'FamilySharing']","Sep8,2022",No score
350,PowerWashSimulator,3,1064,9.0,358.3333333333333,2,1290000,1064,5881,1290000,24,"['Casual', 'Indie', 'Simulation']",['FuturLab'],['SquareEnix'],"['Single-player', 'Multi-player', 'Co-op', 'OnlineCo-op', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'FamilySharing']","14Jul,2022",No score
351,DRAGONBALLFighterZ,3,1863,357.0,774.3333333333334,103,678950,1863,6126,678950,57,['Action'],['ArcSystemWorks'],['BandaiNamcoEntertainment'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Shared/SplitScreenPvP', 'Shared/SplitScreen', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayonTV', 'RemotePlayTogether', 'FamilySharing']","26Jan,2018",85
352,TheTexasChainSawMassacre,3,1383,827.0,789.6666666666666,159,1433140,827,11980,1433140,39,"['Action', 'Indie']",['SumoDigital'],['GunInteractive'],"['Multi-player', 'PvP', 'OnlinePvP', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'FamilySharing']","Aug18,2023",No score
353,TheyAreBillions,3,1232,555.0,614.3333333333334,56,644930,555,2371,644930,29,['Strategy'],['NumantianGames'],['NumantianGames'],"['Single-player', 'SteamAchievements', 'SteamTradingCards', 'SteamWorkshop', 'SteamCloud', 'Stats', 'SteamLeaderboards', 'Includesleveleditor', 'RemotePlayonTablet', 'FamilySharing']","Jun18,2019",77
354,TotalWar:ATTILA,3,238,198.0,146.66666666666666,4,325610,198,28054,325610,44,['Strategy'],['CREATIVEASSEMBLY'],['SEGA'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'LANPvP', 'Co-op', 'OnlineCo-op', 'LANCo-op', 'SteamAchievements', 'SteamTradingCards', 'SteamCloud', 'FamilySharing']","Feb17,2015",80
355,Torchlight:Infinite,3,823,337.0,416.0,88,1974050,823,16833,1974050,0,"['Action', 'Adventure', 'RPG', 'FreetoPlay']",['XD'],['XD'],"['Single-player', 'Multi-player', 'Co-op', 'Cross-PlatformMultiplayer', 'In-AppPurchases', 'PartialControllerSupport']","May9,2023",No score
356,SniperElite4,3,477,356.0,286.3333333333333,26,312660,356,683,312660,59,"['Action', 'Adventure']",['Rebellion'],['Rebellion'],"['Single-player', 'Multi-player', 'Co-op', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'SteamLeaderboards', 'RemotePlayonTV', 'FamilySharing']","Feb13,2017",78
