,name_game_2weeks,playtime_2weeks_game_count,playtime_2weeks_game_max,playtime_2weeks_game_median,playtime_2weeks_game_mean,playtime_2weeks_game_min,appid_game_2weeks,playtime_2weeks_game,playtime_forever_game_2weeks,steam_appid_2weeks_game_,price_overview_2weeks_game_,genres_2weeks_game_,developers_2weeks_game_,publishers_2weeks_game_,categories_2weeks_game_,release_date_2weeks_game_,metacritic_2weeks_game_
28,Hades,57,4132,375.0,641.2105263157895,1,1145360,700,5549,1145360,24,"['Action', 'Indie', 'RPG']",['SupergiantGames'],['SupergiantGames'],"['Single-player', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'Captionsavailable', 'SteamCloud', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayonTV', 'FamilySharing']","Sep17,2020",93
29,StardewValley,57,5852,470.0,803.2631578947369,1,413150,1259,61431,413150,5,"['Indie', 'RPG', 'Simulation']",['ConcernedApe'],['ConcernedApe'],"['Single-player', 'Multi-player', 'Co-op', 'OnlineCo-op', 'LANCo-op', 'Shared/SplitScreenCo-op', 'Shared/SplitScreen', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayTogether', 'FamilySharing']","26Feb,2016",89
30,Rivals2Playtest,53,1645,551.0,624.4905660377359,53,2935730,925,2249,2935730,0,[],['Unknown'],[''],[],"May17,2024",No score
31,DayZ,50,6363,675.5,1067.14,1,221100,2273,35877,221100,26,"['Action', 'Adventure', 'MassivelyMultiplayer']",['BohemiaInteractive'],['BohemiaInteractive'],"['Multi-player', 'MMO', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'SteamAchievements', 'SteamWorkshop', 'SteamCloud', 'ValveAnti-Cheatenabled']","Dec13,2018",No score
32,THEFINALS,50,4904,244.5,617.68,6,2073850,314,1450,2073850,0,"['Action', 'FreetoPlay']",['EmbarkStudios'],['EmbarkStudios'],"['Multi-player', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'Fullcontrollersupport', 'In-AppPurchases']","7Dec,2023",No score
33,Fallout76,48,10604,967.0,1893.7083333333333,3,1151340,6821,13817,1151340,39,['RPG'],['BethesdaGameStudios'],['BethesdaSoftworks'],"['Multi-player', 'MMO', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'SteamAchievements', 'In-AppPurchases', 'PartialControllerSupport', 'RemotePlayonTablet', 'FamilySharing']","Apr14,2020",No score
34,Cyberpunk2077,43,5132,644.0,795.6046511627907,1,1091500,73,18597,1091500,24,['RPG'],['CDPROJEKTRED'],['CDPROJEKTRED'],"['Single-player', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'FamilySharing']","9Dec,2020",86
35,Terraria,41,2157,472.0,701.170731707317,1,105600,1329,22730,105600,9,"['Action', 'Adventure', 'Indie', 'RPG']",['Re-Logic'],['Re-Logic'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayonTV', 'FamilySharing']","May16,2011",83
36,LethalCompany,41,2600,324.0,449.8780487804878,20,1966720,32,1477,1966720,8,"['Action', 'Adventure', 'Indie', 'EarlyAccess']",['Zeekerss'],['Zeekerss'],"['Single-player', 'Multi-player', 'Co-op', 'OnlineCo-op', 'PartialControllerSupport', 'FamilySharing']","23Oct,2023",No score
37,ManorLords,41,1532,242.0,412.390243902439,3,1363080,48,812,1363080,39,"['Simulation', 'Strategy', 'EarlyAccess']",['SlavicMagic'],['HoodedHorse'],"['Single-player', 'SteamAchievements', 'SteamCloud', 'FamilySharing']","Apr26,2024",No score
