,name,playtime_forever_count,playtime_forever_mean,playtime_forever_median,playtime_forever_max,playtime_forever_min,playtime_forever_std,playtime_forever_cv,playtime_forever,price,genres,developers,publishers,categories,release_date
93,AFL23,1,1789.0,1789.0,1789,1789,,,1789,59,"['Simulation', 'Sports']",['BigAntStudios'],['Nacon'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Shared/SplitScreenPvP', 'Co-op', 'Shared/SplitScreenCo-op', 'Shared/SplitScreen', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'PartialControllerSupport', 'SteamCloud', 'RemotePlayTogether', 'FamilySharing']","May3,2023"
94,AHatinTime,1,2648.0,2648.0,2648,2648,,,2648,21,"['Adventure', 'Indie']",['GearsforBreakfast'],['GearsforBreakfast'],"['Single-player', 'Multi-player', 'Co-op', 'Shared/SplitScreenCo-op', 'Shared/SplitScreen', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'Captionsavailable', 'SteamWorkshop', 'SteamCloud', 'Stats', 'Includesleveleditor', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayonTV', 'RemotePlayTogether', 'FamilySharing']","5Oct,2017"
95,AIWar2,1,0.0,0.0,0,0,,,0,19,"['Indie', 'Simulation', 'Strategy']","['ArcenGames,LLC']","['ArcenGames,LLC']","['Single-player', 'Multi-player', 'Co-op', 'OnlineCo-op', 'LANCo-op', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'SteamTradingCards', 'SteamCloud', 'FamilySharing']","Oct22,2019"
96,APBReloaded,32,42304.375,20207.5,552669,0,98588.69479151016,2.3304609698526493,0,0,"['Action', 'MassivelyMultiplayer', 'FreetoPlay']",['ReloadedProductions'],['LittleOrbit'],"['Multi-player', 'MMO', 'SteamAchievements']","Dec6,2011"
128,APlagueTale:Innocence,1,0.0,0.0,0,0,,,0,26,"['Action', 'Adventure']",['AsoboStudio'],['FocusEntertainment'],"['Single-player', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayonTV', 'FamilySharing']","14May,2019"
129,ARK:SurvivalAscended,3,27122.666666666668,21320.0,44627,15421,15443.471576473126,0.569393554338553,44627,44,"['Action', 'Adventure', 'Indie', 'MassivelyMultiplayer', 'RPG', 'EarlyAccess']","['StudioWildcard', 'GroveStreetGames', 'InstinctGames']","['StudioWildcard', 'SnailGamesUSA']","['Single-player', 'Multi-player', 'MMO', 'PvP', 'OnlinePvP', 'LANPvP', 'Co-op', 'OnlineCo-op', 'LANCo-op', 'Shared/SplitScreenCo-op', 'Shared/SplitScreen', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'Fullcontrollersupport', 'Includesleveleditor', 'RemotePlayTogether', 'FamilySharing']","Oct25,2023"
132,ARK:SurvivalEvolved,187,64257.27272727273,30973.0,1313873,0,123339.98383415722,1.919471191341241,103707,14,"['Action', 'Adventure', 'Indie', 'MassivelyMultiplayer', 'RPG']","['StudioWildcard', 'InstinctGames', 'EfectoStudios', 'VirtualBasementLLC']","['StudioWildcard', 'SnailGamesUSA']","['Single-player', 'Multi-player', 'MMO', 'Co-op', 'SteamAchievements', 'Fullcontrollersupport', 'SteamWorkshop', 'SteamCloud', 'ValveAnti-Cheatenabled', 'Includesleveleditor', 'RemotePlayonTablet', 'FamilySharing']","Aug27,2017"
319,ARK:SurvivalOfTheFittest,6,6481.166666666667,0.0,36892,0,14919.561393240308,2.3019869971826536,36892,0,"['Action', 'Adventure', 'Indie', 'MassivelyMultiplayer', 'RPG', 'Strategy']","['StudioWildcard', 'InstinctGames', 'EfectoStudios', 'VirtualBasementLLC']",['StudioWildcard'],"['Multi-player', 'Co-op', 'SteamWorkshop', 'PartialControllerSupport', 'Stats', 'SteamLeaderboards', 'Includesleveleditor', 'FamilySharing']","Aug29,2017"
325,ARMOREDCORE™VIFIRESOFRUBICON™,1,3275.0,3275.0,3275,3275,,,3275,59,['Action'],['FromSoftwareInc.'],"['FromSoftwareInc.', 'BandaiNamcoEntertainmentInc.']","['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'SteamAchievements', 'SteamTradingCards', 'PartialControllerSupport', 'SteamCloud', 'FamilySharing']","Aug24,2023"
326,ASTRONEER,4,11370.0,12446.5,13657,6930,3079.9501078210124,0.27088391449613125,13657,29,"['Adventure', 'Indie']",['SystemEraSoftworks'],['SystemEraSoftworks'],"['Single-player', 'Multi-player', 'Co-op', 'OnlineCo-op', 'SteamAchievements', 'Fullcontrollersupport', 'SteamCloud', 'RemotePlayonTablet', 'RemotePlayonTV', 'FamilySharing']","Feb5,2019"
330,AStoryAboutMyUncle,1,0.0,0.0,0,0,,,0,2,"['Adventure', 'Casual', 'Indie']",['GoneNorthGames'],['CoffeeStainPublishing'],"['Single-player', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'FamilySharing']","May28,2014"
331,ATLAS,5,44024.4,42147.0,53975,31095,9585.16310763672,0.21772387829559786,42147,29,"['Action', 'Adventure', 'MassivelyMultiplayer', 'RPG', 'EarlyAccess']","['GrapeshotGames', 'InstinctGames']","['GrapeshotGames', 'SnailGamesUSA']","['Single-player', 'Multi-player', 'MMO', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'Fullcontrollersupport', 'SteamWorkshop', 'Includesleveleditor', 'FamilySharing']","Dec22,2018"
336,ATRI-MyDearMoments-,1,94708.0,94708.0,94708,94708,,,94708,20,"['Adventure', 'Casual']","['Frontwing', '枕']",['ANIPLEX.EXE'],"['Single-player', 'SteamTradingCards', 'FamilySharing']","Jun18,2020"
337,AWayOut,2,0.0,0.0,0,0,0.0,,0,28,"['Action', 'Adventure', 'Indie']",['Hazelight'],['ElectronicArts'],"['Multi-player', 'Co-op', 'OnlineCo-op', 'Shared/SplitScreenCo-op', 'Shared/SplitScreen', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayonTV', 'RemotePlayTogether']","18Jun,2020"
339,Absolver,1,69207.0,69207.0,69207,69207,,,69207,29,"['Action', 'Adventure', 'Indie']",['Sloclap'],['DevolverDigital'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'SteamAchievements', 'Fullcontrollersupport', 'RemotePlayonTV', 'FamilySharing']","Aug29,2017"
