column1,name,playtime_forever_count,playtime_forever_mean,playtime_forever_median,playtime_forever_max,playtime_forever_min,playtime_forever_std,playtime_forever_cv,playtime_forever,price,genres,developers,publishers,categories,release_date,hours_per_dollar
3079,CallofDuty:WWII,3,904.3333129882812,899,1814,0,907.0117797851562,1.0029617547988892,0,59,['Action'],"['SledgehammerGames', 'RavenSoftware']",['Activision'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Shared/SplitScreenPvP', 'Co-op', 'OnlineCo-op', 'Shared/SplitScreenCo-op', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'In-AppPurchases', 'SteamCloud', 'ValveAnti-Cheatenabled', 'RemotePlayonTV', 'FamilySharing']","Nov2,2017",0.06562847608453838
18311,ResidentEvil4,4,1503,610,4792,0,2266.83544921875,1.5082072019577026,0,39,"['Action', 'Adventure']","['CAPCOMCo.,Ltd.']","['CAPCOMCo.,Ltd.']","['Single-player', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'HDRavailable', 'FamilySharing']","Mar23,2023",0.06393442622950819
22357,TheJackboxPartyPack3,3,619,375,1117,365,431.30963134765625,0.6967845559120178,375,23,"['Casual', 'Indie', 'Strategy']","['JackboxGames,Inc.']","['JackboxGames,Inc.']","['Single-player', 'Multi-player', 'PvP', 'Shared/SplitScreenPvP', 'Co-op', 'Shared/SplitScreenCo-op', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayonTV', 'RemotePlayTogether', 'FamilySharing']","17Oct,2016",0.06133333333333333
1900,Battlefield1™,7,6887.4287109375,715,30847,0,11938.7021484375,1.7334048748016357,15281,39,"['Action', 'MassivelyMultiplayer']",['DICE'],['ElectronicArts'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'HDRavailable']","Jun11,2020",0.05454545454545454
2063,BioShockInfinite,6,6796.16650390625,682.5,23397,0,10282.37109375,1.512966275215149,1365,29,['Action'],"['IrrationalGames', 'VirtualProgramming(Linux)']",['2K'],"['Single-player', 'SteamAchievements', 'Fullcontrollersupport', 'SteamTradingCards', 'SteamCloud', 'RemotePlayonTablet', 'RemotePlayonTV', 'FamilySharing']","Mar25,2013",0.04249084249084249
15997,PAYDAY:TheHeist,6,5156,333,27451,0,10976.1259765625,2.1288063526153564,613,14,['Action'],['OVERKILLSoftware'],['DaybreakGameCompany'],"['Single-player', 'Multi-player', 'Co-op', 'SteamAchievements', 'SteamTradingCards', 'SteamCloud', 'Stats', 'FamilySharing']","Oct20,2011",0.042042042042042045
17996,PummelParty,17,842.941162109375,372,3059,0,970.0609741210938,1.150805115699768,0,14,"['Action', 'Casual', 'Indie']",['RebuiltGames'],['RebuiltGames'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Shared/SplitScreenPvP', 'Shared/SplitScreen', 'SteamAchievements', 'Fullcontrollersupport', 'SteamWorkshop', 'Includesleveleditor', 'RemotePlayonPhone', 'RemotePlayonTablet', 'RemotePlayonTV', 'RemotePlayTogether', 'FamilySharing']","Sep20,2018",0.03763440860215054
8870,DayofDefeat:Source,36,31915.5,239.5,474023,0,104301.2734375,3.2680444717407227,0,9,['Action'],['Valve'],['Valve'],"['Multi-player', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'SteamTradingCards', 'ValveAnti-Cheatenabled', 'Stats', 'IncludesSourceSDK', 'FamilySharing']","Jul12,2010",0.037578288100208766
17824,PlagueInc:Evolved,3,902.6666870117188,420,2288,0,1217.9742431640625,1.3493068218231201,0,14,"['Casual', 'Indie', 'Simulation', 'Strategy']",['NdemicCreations'],['NdemicCreations'],"['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'Cross-PlatformMultiplayer', 'SteamAchievements', 'SteamTradingCards', 'SteamWorkshop', 'PartialControllerSupport', 'SteamCloud', 'Stats', 'SteamLeaderboards', 'Includesleveleditor', 'RemotePlayonTablet', 'FamilySharing']","Feb18,2016",0.03333333333333333
15630,Nioh:CompleteEdition,3,2026,1679,4399,0,2219.93408203125,1.0957225561141968,0,49,"['Action', 'RPG']","['KOEITECMOGAMESCO.,LTD.']","['KOEITECMOGAMESCO.,LTD.']","['Single-player', 'Multi-player', 'PvP', 'OnlinePvP', 'Co-op', 'OnlineCo-op', 'SteamAchievements', 'SteamTradingCards', 'PartialControllerSupport', 'SteamCloud', 'Stats', 'SteamLeaderboards', 'FamilySharing']","Nov7,2017",0.029184038117927337
