APIname,sub_APIname,version,httpmethod,parameters
ITFPromos_620,GetItemID,1,GET,"[
                            {
                                ""name"": ""steamid"",
                                ""type"": ""uint64"",
                                ""optional"": false,
                                ""description"": ""The Steam ID to fetch items for""
                            },
                            {
                                ""name"": ""PromoID"",
                                ""type"": ""uint32"",
                                ""optional"": false,
                                ""description"": ""The promo ID to grant an item for""
                            }
                        ]"
ITFSystem_440,GetWorldStatus,1,GET,[]
IGameServersService,GetAccountList,1,GET,"[
                            {
                                ""name"": ""key"",
                                ""type"": ""string"",
                                ""optional"": false,
                                ""description"": ""Access key""
                            }
                        ]"
IGameServersService,GetAccountPublicInfo,1,GET,"[
                            {
                                ""name"": ""key"",
                                ""type"": ""string"",
                                ""optional"": false,
                                ""description"": ""Access key""
                            },
                            {
                                ""name"": ""steamid"",
                                ""type"": ""uint64"",
                                ""optional"": false,
                                ""description"": ""The SteamID of the game server to get info on""
                            }
                        ]"
IGameServersService,QueryLoginToken,1,GET,"[
                            {
                                ""name"": ""key"",
                                ""type"": ""string"",
                                ""optional"": false,
                                ""description"": ""Access key""
                            },
                            {
                                ""name"": ""login_token"",
                                ""type"": ""string"",
                                ""optional"": false,
                                ""description"": ""Login token to query""
                            }
                        ]"
IGameServersService,GetServerSteamIDsByIP,1,GET,"[
                            {
                                ""name"": ""key"",
                                ""type"": ""string"",
                                ""optional"": false,
                                ""description"": ""Access key""
                            },
                            {
                                ""name"": ""server_ips"",
                                ""type"": ""string"",
                                ""optional"": false
                            }
                        ]"
IGameServersService,GetServerIPsBySteamID,1,GET,"[
                            {
                                ""name"": ""key"",
                                ""type"": ""string"",
                                ""optional"": false,
                                ""description"": ""Access key""
                            },
                            {
                                ""name"": ""server_steamids"",
                                ""type"": ""uint64"",
                                ""optional"": false
                            }
                        ]"
IGameServersService,QueryByFakeIP,1,GET,"[
                            {
                                ""name"": ""key"",
                                ""type"": ""string"",
                                ""optional"": false,
                                ""description"": ""Access key""
                            },
                            {
                                ""name"": ""fake_ip"",
                                ""type"": ""uint32"",
                                ""optional"": false,
                                ""description"": ""FakeIP of server to query.""
                            },
                            {
                                ""name"": ""fake_port"",
                                ""type"": ""uint32"",
                                ""optional"": false,
                                ""description"": ""Fake port of server to query.""
                            },
                            {
                                ""name"": ""app_id"",
                                ""type"": ""uint32"",
                                ""optional"": false,
                                ""description"": ""AppID to use.  Each AppID has its own FakeIP address.""
                            },
                            {
                                ""name"": ""query_type"",
                                ""type"": ""{enum}"",
                                ""optional"": false,
                                ""description"": ""What type of query?""
                            }
                        ]"
IPlayerService,IsPlayingSharedGame,1,GET,"[
                            {
                                ""name"": ""key"",
                                ""type"": ""string"",
                                ""optional"": false,
                                ""description"": ""Access key""
                            },
                            {
                                ""name"": ""steamid"",
                                ""type"": ""uint64"",
                                ""optional"": false,
                                ""description"": ""The player we're asking about""
                            },
                            {
                                ""name"": ""appid_playing"",
                                ""type"": ""uint32"",
                                ""optional"": false,
                                ""description"": ""The game player is currently playing""
                            }
                        ]"
IPlayerService,GetRecentlyPlayedGames,1,GET,"[
                            {
                                ""name"": ""key"",
                                ""type"": ""string"",
                                ""optional"": false,
                                ""description"": ""Access key""
                            },
                            {
                                ""name"": ""steamid"",
                                ""type"": ""uint64"",
                                ""optional"": false,
                                ""description"": ""The player we're asking about""
                            },
                            {
                                ""name"": ""count"",
                                ""type"": ""uint32"",
                                ""optional"": false,
                                ""description"": ""The number of games to return (0/unset: all)""
                            }
                        ]"
